id,type,scene_id,target_objs_id,target_actions,language_sentence,language_words_op,gpointing_obj_probs
00-00-00-00,0,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[1.0, 1.0, 0.07585275233457453, 1.0, 0.08024880309481613, 0.7724310863332968, 0.07146735823731253, 1.0]"
00-00-01-01,1,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[1.0, 1.0, 0.10502053849186839, 1.0, 0.10851391834141604, 0.6908003421219059, 0.09566520104480969, 1.0]"
00-00-02-02,2,00-00,['00-00-00-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 0.8286579506013684, 0.01842594413704568, 1.0, 0.018933816916500763, 0.1174833287278107, 0.016498959617274444, 1.0]"
00-00-03-03,3,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.5552127033895875, 0.026106475667470246, 1.0, 0.027464244119679074, 0.3679997740289972, 0.023216802794265967, 1.0]"
00-00-04-04,4,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 1.0, 0.02132527000399282, 0.5021887459207653, 0.023187701374212357, 0.21748421597930442, 0.0222642562387702, 0.21354981048295493]"
00-00-05-00,0,00-00,['00-00-01-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[0.27965765990965097, 1.0, 0.06790402933547211, 0.15547555408676078, 0.07470848914574152, 0.1853999099336499, 0.09290793485714006, 0.14394642273158464]"
00-00-06-01,1,00-00,['00-00-01-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[0.46625803110158504, 1.0, 0.04167354776575237, 0.12393356739034826, 0.046322713304274094, 0.1579364262973221, 0.05417091629931726, 0.10970479784140082]"
00-00-07-02,2,00-00,['00-00-01-cub-y-10'],['pick up'],pick up cube,['cube'],"[1.0, 1.0, 0.056500347241699535, 0.4064384045387668, 0.06007309257016686, 0.2132182474079487, 0.0634244501407397, 0.20034545810067828]"
00-00-08-03,3,00-00,['00-00-01-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[0.5733612138203961, 1.0, 0.028505918491597403, 0.08081992516985542, 0.03275399960345705, 0.16308529713074355, 0.038280212510426986, 0.08319343327352342]"
00-00-09-04,4,00-00,['00-00-01-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[1.0, 1.0, 0.04309722977962154, 0.20787630926984502, 0.04878930521027947, 0.4520105361584595, 0.05145783930098478, 0.19676878028080977]"
00-00-10-00,0,00-00,['00-00-02-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.08821343477850385, 0.08141624357413156, 1.0, 0.08248553088413793, 1.0, 0.14086041177500186, 0.3749507448693285, 0.23207363411889625]"
