id,type,scene_id,target_objs_id,target_actions,language_sentence,language_words_op,gpointing_obj_probs
00-00-00-00,0,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[1.0, 1.0, 1.0, 0.15055843470188573, 0.15813451453365132, 0.4557095122214331, 1.0, 0.23559753854302984]"
00-00-01-01,1,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[1.0, 0.6323689625230439, 0.2039607135576182, 0.024719576875226353, 0.024958338797916087, 0.07877428791646571, 1.0, 0.03521812032972973]"
00-00-02-02,2,00-00,['00-00-00-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 1.0, 0.053660844051944365, 0.00979711275645097, 0.010078831678168143, 0.026682027063307835, 0.8863091344459963, 0.013472050004132234]"
00-00-03-03,3,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.6617491669595659, 0.19472735204557487, 0.021593060757213612, 0.021827166343087567, 0.06915097812465207, 1.0, 0.03095227576990585]"
00-00-04-04,4,00-00,['00-00-00-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 0.46627921835159913, 0.25764273102976265, 0.041781968785365185, 0.041783495144280945, 0.13434639786964883, 1.0, 0.058166188819343295]"
00-00-05-00,0,00-00,['00-00-01-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[1.0, 1.0, 0.2828090099594439, 0.03620681188946401, 0.0386376590480347, 0.0907352163733422, 0.4995556255451898, 0.05205567718452541]"
00-00-06-01,1,00-00,['00-00-01-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.5307507361013364, 1.0, 0.13827454686826415, 0.03288929850441252, 0.03654665552719525, 0.06865556965588965, 0.1473902155265376, 0.0454929778163644]"
00-00-07-02,2,00-00,['00-00-01-cub-r-10'],['pick up'],pick up cube,['cube'],"[1.0, 1.0, 0.3221647779451952, 0.050034579799068266, 0.05436388887932188, 0.11671433420425502, 0.3851628382038973, 0.07155958096826245]"
00-00-08-03,3,00-00,['00-00-01-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 1.0, 0.3086962307147326, 0.03890579019620686, 0.04174723019419316, 0.0960883260903224, 0.4583765950143244, 0.05618582779022069]"
00-00-09-04,4,00-00,['00-00-01-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.9204729814833702, 1.0, 0.02438200089819851, 0.004930351911982849, 0.005421914177302991, 0.01078815953804175, 0.027091918185587142, 0.006912673805516616]"
