id,type,scene_id,target_objs_id,target_actions,language_sentence,language_words_op,gpointing_obj_probs
00-00-00-00,0,00-00,['00-00-00-cyl-r-10'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[1.0, 0.8217087500926982, 0.01831594462072939, 0.028794334665809412, 0.010359122568115562, 1.0, 0.005273199237188507, 0.11554864881545894]"
00-00-01-01,1,00-00,['00-00-00-cyl-r-10'],['pick up'],pick up red big cylinder,"['red', 'big', 'cylinder']","[1.0, 0.27972114477131343, 0.03450267884081216, 0.0360183379057707, 0.025851871608874175, 1.0, 0.011688036648773704, 0.6122179302244558]"
00-00-02-02,2,00-00,['00-00-00-cyl-r-10'],['pick up'],pick up cylinder,['cylinder'],"[1.0, 1.0, 0.09993220072915301, 0.12692616379344374, 0.07348308909844621, 1.0, 0.032806078163145624, 0.6668524682158115]"
00-00-03-03,3,00-00,['00-00-00-cyl-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[1.0, 0.4437742140024765, 0.19755160036950128, 0.1682958927673615, 0.12576438797693218, 1.0, 0.06461390488372842, 1.0]"
00-00-04-04,4,00-00,['00-00-00-cyl-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[1.0, 0.43609065241081296, 0.20989063365491156, 0.19642393900207594, 0.1004709732368355, 1.0, 0.057123801695363956, 1.0]"
00-00-05-00,0,00-00,['00-00-01-cub-y-10'],['pick up'],pick up yellow cube,"['yellow', 'cube']","[1.0, 1.0, 0.06396445375394831, 0.10606560558591877, 0.4903750390004082, 0.20749274062971948, 0.0326842933347611, 0.09941786769524416]"
00-00-06-01,1,00-00,['00-00-01-cub-y-10'],['pick up'],pick up yellow big cube,"['yellow', 'big', 'cube']","[1.0, 1.0, 0.030991702082517607, 0.04868750478961533, 0.7674576308208384, 0.08943335654993681, 0.01646935236685472, 0.04696045339023723]"
00-00-07-02,2,00-00,['00-00-01-cub-y-10'],['pick up'],pick up cube,['cube'],"[0.33932089574763774, 1.0, 0.10693105806475116, 0.1516845656376927, 1.0, 0.19494103334931276, 0.06554782064956066, 0.1415746265510449]"
00-00-08-03,3,00-00,['00-00-01-cub-y-10'],['pick up'],pick up yellow solid,"['yellow', 'solid']","[1.0, 1.0, 0.04915451559847541, 0.07433117831303865, 0.6078724538055336, 0.16505631304365986, 0.02566284022783783, 0.07792269901145478]"
00-00-09-04,4,00-00,['00-00-01-cub-y-10'],['pick up'],pick up yellow big solid,"['yellow', 'big', 'solid']","[1.0, 1.0, 0.050536321176805635, 0.08842505474041529, 0.6254816754415258, 0.13505304680386507, 0.026471845306073844, 0.07403205653131452]"
00-00-10-00,0,00-00,['00-00-02-cub-r-10'],['pick up'],pick up red cube,"['red', 'cube']","[0.0750792192123089, 0.051942526309182, 1.0, 0.1155174922954906, 0.03716498554453111, 0.08154342151165574, 0.07275231623730163, 0.56600003888953]"
00-00-11-01,1,00-00,['00-00-02-cub-r-10'],['pick up'],pick up red big cube,"['red', 'big', 'cube']","[0.07175150456325136, 0.056798739463585886, 1.0, 0.3455488683262418, 0.040828537461973506, 0.06685744723229885, 0.24931918977422846, 0.1688957131784201]"
00-00-12-02,2,00-00,['00-00-02-cub-r-10'],['pick up'],pick up cube,['cube'],"[0.08717326797147798, 0.061529830508197, 1.0, 0.2878788009785769, 0.042383489247494154, 0.08330075158208296, 0.12516858167503983, 0.3125652780371312]"
00-00-13-03,3,00-00,['00-00-02-cub-r-10'],['pick up'],pick up red solid,"['red', 'solid']","[0.08675320619695447, 0.060192475095072695, 1.0, 0.17658023266539566, 0.04223377525070317, 0.08855810418140547, 0.09832482130473137, 0.44735738530573715]"
00-00-14-04,4,00-00,['00-00-02-cub-r-10'],['pick up'],pick up red big solid,"['red', 'big', 'solid']","[0.12644612744355008, 0.09371070885600251, 1.0, 1.0, 0.06290231812632048, 0.11016295314223641, 0.3100852907670185, 0.29669260166487194]"
00-00-15-00,0,00-00,['00-00-03-cyl-r-10'],['pick up'],pick up red cylinder,"['red', 'cylinder']","[0.07120211460195673, 0.07541189932779317, 0.5723213717461606, 1.0, 0.03864529260754689, 0.04335131803972928, 0.1355720029867078, 0.06349600069010562]"
